cpu_percent,memory_used_percent,disk_read_bytes,disk_write_bytes,net_sent_bytes,net_recv_bytes,gpu_0_load_change,gpu_0_free_memory_change,gpu_0_used_memory_change,gpu_0_temperature_change,gpu_1_load_change,gpu_1_free_memory_change,gpu_1_used_memory_change,gpu_1_temperature_change
17.0,13.0,0,12288,3506,2980,8.0,-142.0,142.0,1.0,-37.0,-170.0,170.0,2.0
17.9,13.0,0,0,11082,15851,28.0,-140.0,140.0,2.0,45.0,-180.0,180.0,3.0
17.7,13.0,0,65536,44076,32915,-1.0,-18.0,18.0,5.0,0.0,-24.0,24.0,5.0
17.7,13.1,0,16384,39474,24169,1.0,0.0,0.0,1.0,2.000000000000007,0.0,0.0,3.0
17.4,13.1,0,4096,5290,8127,-2.0,0.0,0.0,1.0,-2.000000000000007,0.0,0.0,2.0
18.0,13.0,0,20480,4465,3941,-3.0,0.0,0.0,1.0,-4.0,0.0,0.0,1.0
18.4,13.0,0,0,2485,5578,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
