cpu_percent,memory_used_percent,disk_read_bytes,disk_write_bytes,net_sent_bytes,net_recv_bytes,gpu_0_load_change,gpu_0_free_memory_change,gpu_0_used_memory_change,gpu_0_temperature_change,gpu_1_load_change,gpu_1_free_memory_change,gpu_1_used_memory_change,gpu_1_temperature_change
17.7,13.1,1044480,0,4797,3013,4.0,-142.0,142.0,1.0,-24.0,-170.0,170.0,1.0
18.0,13.1,0,0,6342,9680,35.0,-140.0,140.0,1.0,45.0,-180.0,180.0,3.0
17.9,13.2,0,2260992,11697,18026,0.0,-18.0,18.0,2.0,0.0,-24.0,24.0,4.0
17.7,13.1,0,16384,9140,11010,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
18.1,13.2,0,0,3895,3513,-4.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0
17.3,13.1,0,8192,5466,8798,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
18.3,13.2,0,16384,3423,3245,-5.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0
